dataset,operator,model,dim,fold_count,mean,std,var,fold0,fold1,fold2,fold3,fold4
MUTAG,GATConv,PlainGNN,64,5,0.73997,0.06410,0.004109,0.71053,0.68421,0.71053,0.86486,0.72973
MUTAG,GCNConv,APPNPBaseline,64,5,0.68620,0.03067,0.000940,0.71053,0.68421,0.65789,0.72973,0.64865
MUTAG,GCNConv,GraphCrossGNN,64,5,0.71294,0.05394,0.002910,0.71053,0.68421,0.71053,0.81081,0.64865
MUTAG,GCNConv,GraphResGNN,64,5,0.72902,0.05848,0.003420,0.71053,0.68421,0.73684,0.83784,0.67568
MUTAG,GCNConv,JKNetBaseline,64,5,0.73414,0.06953,0.004835,0.78947,0.68421,0.71053,0.83784,0.64865
MUTAG,GCNConv,NodeCrossGNN,32,1,0.62162,0.00000,0.000000,0.62162,,,,
MUTAG,GCNConv,NodeCrossGNN,64,5,0.73969,0.06762,0.004572,0.73684,0.68421,0.73684,0.86486,0.67568
MUTAG,GCNConv,NodeResGNN,32,5,0.66473,0.07169,0.005140,0.62162,0.67568,0.78378,0.56757,0.67500
MUTAG,GCNConv,NodeResGNN,64,5,0.73428,0.07336,0.005381,0.73684,0.68421,0.73684,0.86486,0.64865
MUTAG,GCNConv,PlainGNN,32,5,0.66473,0.07169,0.005140,0.62162,0.67568,0.78378,0.56757,0.67500
MUTAG,GCNConv,PlainGNN,64,5,0.72361,0.04858,0.002360,0.73684,0.68421,0.71053,0.81081,0.67568
MUTAG,GINConv,GINBaseline,64,5,0.80853,0.06093,0.003712,0.81579,0.71053,0.89474,0.83784,0.78378
MUTAG,GINConv,GraphCrossGNN,64,5,0.80370,0.07073,0.005003,0.76316,0.68421,0.86842,0.83784,0.86486
MUTAG,GINConv,GraphResGNN,64,5,0.79787,0.04310,0.001858,0.81579,0.73684,0.84211,0.83784,0.75676
MUTAG,GINConv,NodeCrossGNN,64,5,0.83528,0.01837,0.000338,0.81579,0.81579,0.84211,0.86486,0.83784
MUTAG,GINConv,NodeResGNN,64,5,0.81920,0.01917,0.000368,0.78947,0.81579,0.84211,0.83784,0.81081
MUTAG,GINConv,PlainGNN,64,5,0.80853,0.07139,0.005097,0.84211,0.68421,0.89474,0.83784,0.78378
MUTAG,SAGEConv,GraphCrossGNN,64,5,0.72347,0.03955,0.001564,0.73684,0.68421,0.73684,0.78378,0.67568
MUTAG,SAGEConv,GraphResGNN,64,5,0.72916,0.05518,0.003045,0.71053,0.68421,0.71053,0.83784,0.70270
MUTAG,SAGEConv,GraphSAGEBaseline,64,5,0.73954,0.04486,0.002013,0.76316,0.68421,0.73684,0.81081,0.70270
MUTAG,SAGEConv,NodeCrossGNN,64,5,0.72347,0.03955,0.001564,0.73684,0.68421,0.73684,0.78378,0.67568
MUTAG,SAGEConv,NodeResGNN,64,5,0.73940,0.04597,0.002113,0.73684,0.71053,0.76316,0.81081,0.67568
MUTAG,SAGEConv,PlainGNN,64,5,0.73414,0.05028,0.002528,0.76316,0.68421,0.73684,0.81081,0.67568
MUTAG,TransformerConv,GraphCrossGNN,64,5,0.75007,0.05503,0.003029,0.76316,0.71053,0.76316,0.83784,0.67568
MUTAG,TransformerConv,GraphResGNN,64,5,0.74523,0.07525,0.005663,0.71053,0.68421,0.73684,0.89189,0.70270
MUTAG,TransformerConv,NodeCrossGNN,64,5,0.78762,0.03944,0.001555,0.76316,0.76316,0.76316,0.86486,0.78378
MUTAG,TransformerConv,NodeResGNN,64,5,0.75007,0.05750,0.003306,0.73684,0.71053,0.78947,0.83784,0.67568
MUTAG,TransformerConv,PlainGNN,64,5,0.73983,0.04310,0.001857,0.68421,0.73684,0.71053,0.81081,0.75676
AIDS,GATConv,GraphCrossGNN,64,5,0.88950,0.01288,0.000166,0.89750,0.87750,0.87250,0.89250,0.90750
AIDS,GATConv,GraphResGNN,64,5,0.89850,0.02582,0.000666,0.86750,0.93500,0.87250,0.91750,0.90000
AIDS,GATConv,NodeCrossGNN,64,5,0.91700,0.01042,0.000108,0.90000,0.91000,0.92250,0.92500,0.92750
AIDS,GATConv,NodeResGNN,64,5,0.88000,0.02025,0.000410,0.89000,0.87000,0.84500,0.89500,0.90000
AIDS,GATConv,PlainGNN,64,5,0.88750,0.00962,0.000093,0.88250,0.88250,0.89750,0.90000,0.87500
AIDS,GCNConv,APPNPBaseline,64,5,0.80000,0.00000,0.000000,0.80000,0.80000,0.80000,0.80000,0.80000
AIDS,GCNConv,GraphCrossGNN,64,5,0.87100,0.04125,0.001701,0.86500,0.80000,0.88500,0.87750,0.92750
AIDS,GCNConv,GraphResGNN,64,5,0.91600,0.01210,0.000147,0.92000,0.92000,0.92000,0.92750,0.89250
AIDS,GCNConv,JKNetBaseline,64,5,0.86300,0.03389,0.001148,0.86500,0.80000,0.86750,0.88250,0.90000
AIDS,GCNConv,NodeCrossGNN,64,5,0.87350,0.04116,0.001694,0.89500,0.79500,0.88000,0.88250,0.91500
AIDS,GCNConv,NodeResGNN,64,5,0.86900,0.03541,0.001254,0.87250,0.80000,0.88750,0.89750,0.88750
AIDS,GCNConv,PlainGNN,64,5,0.84550,0.02571,0.000661,0.86500,0.80000,0.83500,0.85750,0.87000
AIDS,GINConv,GINBaseline,64,5,0.87800,0.04145,0.001718,0.89250,0.80000,0.87500,0.91750,0.90500
AIDS,GINConv,GraphCrossGNN,64,5,0.90050,0.00900,0.000081,0.89000,0.91000,0.91000,0.89000,0.90250
AIDS,GINConv,GraphResGNN,64,5,0.95450,0.01177,0.000139,0.94250,0.96750,0.94500,0.94750,0.97000
AIDS,GINConv,NodeCrossGNN,64,5,0.92200,0.01017,0.000103,0.91750,0.91000,0.93000,0.91500,0.93750
AIDS,GINConv,NodeResGNN,64,5,0.91650,0.01602,0.000257,0.93500,0.92750,0.90750,0.89000,0.92250
AIDS,GINConv,PlainGNN,64,5,0.89450,0.04737,0.002243,0.91750,0.80000,0.91250,0.92250,0.92000
AIDS,SAGEConv,GraphCrossGNN,64,5,0.88250,0.01414,0.000200,0.89250,0.87250,0.86250,0.90250,0.88250
AIDS,SAGEConv,GraphResGNN,64,5,0.90050,0.03172,0.001006,0.88000,0.91500,0.85000,0.94000,0.91750
AIDS,SAGEConv,GraphSAGEBaseline,64,5,0.86700,0.05735,0.003288,0.90250,0.76500,0.84500,0.89750,0.92500
AIDS,SAGEConv,NodeCrossGNN,64,5,0.89100,0.04740,0.002246,0.90000,0.80000,0.90250,0.93750,0.91500
AIDS,SAGEConv,NodeResGNN,64,5,0.90350,0.01446,0.000209,0.88750,0.90500,0.89500,0.90000,0.93000
AIDS,SAGEConv,PlainGNN,64,5,0.87150,0.04951,0.002451,0.89750,0.77500,0.88750,0.88250,0.91500
AIDS,TransformerConv,GraphCrossGNN,64,5,0.87250,0.04881,0.002382,0.92250,0.78000,0.87500,0.89750,0.88750
AIDS,TransformerConv,GraphResGNN,64,5,0.89900,0.02909,0.000847,0.84500,0.91750,0.90250,0.90000,0.93000
